date,price_mean,price_median,n_obs
2005-03-01,392253.82473710563,299000.0,1997
2005-04-01,368099.5262424524,275000.0,2153
2005-05-01,371462.270432178,275000.0,2337
2005-06-01,381993.0776273885,285000.0,2512
2005-07-01,382467.0764933391,290000.0,2327
2005-08-01,383447.6885496183,295000.0,2620
2005-09-01,384297.3882508834,285000.0,2264
2005-10-01,383385.04699612403,300000.0,2064
2005-11-01,383977.6761603376,288250.0,1896
2005-12-01,397141.38577912253,310000.0,1983
2006-01-01,376851.0258780037,289900.0,1623
2006-02-01,389938.06371911574,299900.0,1538
2006-03-01,383119.1329597555,290000.0,1963
2006-04-01,386101.61089918256,289879.0,1835
2006-05-01,390746.3255159475,299900.0,2132
2006-06-01,402385.3111413043,310000.0,2208
2006-07-01,400649.2233160622,315000.0,1930
2006-08-01,401656.9531324725,315000.0,2091
2006-09-01,400937.634529148,315000.0,1784
2006-10-01,389403.51758499414,307500.0,1706
2006-11-01,389757.97897503286,299000.0,1522
2006-12-01,425806.1636481242,338500.0,1546
2007-01-01,386761.0775805391,305000.0,1521
2007-02-01,395694.29505703424,289900.0,1315
2007-03-01,415985.0550458716,339000.0,1635
2007-04-01,406244.31683804624,310000.0,1556
2007-05-01,405017.4119318182,312450.0,1760
2007-06-01,424630.17321997875,325000.0,1882
2007-07-01,410269.83573008847,311000.0,1808
2007-08-01,411600.575436739,320000.0,1889
2007-09-01,411033.68292682926,320000.0,1394
2007-10-01,412107.8956406869,309950.0,1514
2007-11-01,413476.30277544155,319900.0,1189
2007-12-01,418324.3195706028,325000.0,1211
2008-01-01,428063.4935511608,320000.0,1163
2008-02-01,419388.5575471698,327250.0,1060
2008-03-01,425863.3412073491,329000.0,1143
2008-04-01,396221.3335740072,295000.0,1385
2008-05-01,418808.3603209336,325000.0,1371
2008-06-01,426679.1541143654,347000.0,1434
2008-07-01,426415.3061911171,332813.0,1486
2008-08-01,425533.75587566337,329900.0,1319
2008-09-01,434620.7992537313,339850.0,1340
2008-10-01,406958.6216436127,325000.0,1229
2008-11-01,430427.49553571426,349900.0,896
2008-12-01,432016.85804701626,355000.0,1106
2009-01-01,411415.8369565217,327000.0,828
2009-02-01,415075.8373015873,325000.0,756
2009-03-01,396117.72286821704,309945.0,1032
2009-04-01,399651.07570093457,310000.0,1070
2009-05-01,416215.4757548033,329000.0,1093
2009-06-01,432118.78412698413,350000.0,1260
2009-07-01,426836.9423076923,348200.0,1404
2009-08-01,450132.43110394845,360000.0,1241
2009-09-01,416888.2862807296,329900.0,1261
2009-10-01,419695.6265432099,349900.0,1296
2009-11-01,409870.0925,315000.0,1200
2009-12-01,442879.5998487141,349700.0,1322
2010-01-01,443804.93378995435,349900.0,876
2010-02-01,447169.48056537105,350000.0,849
2010-03-01,440142.63157894736,350000.0,1178
2010-04-01,413706.47880690737,310000.0,1274
2010-05-01,423555.0028860029,335000.0,1386
2010-06-01,441576.2501461134,350000.0,1711
2010-07-01,448423.7726510067,369900.0,1192
2010-08-01,438308.18642611685,345000.0,1164
